generation,event,genome_id,species_id,parent1_id,parent2_id,birth_type
0,birth,1,,,,initial
0,birth,2,,,,initial
0,birth,3,,,,initial
0,birth,4,,,,initial
0,birth,5,,,,initial
0,birth,6,,,,initial
0,birth,7,,,,initial
0,birth,8,,,,initial
0,birth,9,,,,initial
0,birth,10,,,,initial
0,birth,11,,,,initial
0,birth,12,,,,initial
0,birth,13,,,,initial
0,birth,14,,,,initial
0,birth,15,,,,initial
0,birth,16,,,,initial
0,birth,17,,,,initial
0,birth,18,,,,initial
0,birth,19,,,,initial
0,birth,20,,,,initial
0,birth,21,,,,initial
0,birth,22,,,,initial
0,birth,23,,,,initial
0,birth,24,,,,initial
0,birth,25,,,,initial
0,birth,26,,,,initial
0,birth,27,,,,initial
0,birth,28,,,,initial
0,birth,29,,,,initial
0,birth,30,,,,initial
0,birth,31,,,,initial
0,birth,32,,,,initial
0,birth,33,,,,initial
0,birth,34,,,,initial
0,birth,35,,,,initial
0,birth,36,,,,initial
0,birth,37,,,,initial
0,birth,38,,,,initial
0,birth,39,,,,initial
0,birth,40,,,,initial
0,birth,41,,,,initial
0,birth,42,,,,initial
0,birth,43,,,,initial
0,birth,44,,,,initial
0,birth,45,,,,initial
0,birth,46,,,,initial
0,birth,47,,,,initial
0,birth,48,,,,initial
0,birth,49,,,,initial
0,birth,50,,,,initial
0,birth,51,,,,initial
0,birth,52,,,,initial
0,birth,53,,,,initial
0,birth,54,,,,initial
0,birth,55,,,,initial
0,birth,56,,,,initial
0,birth,57,,,,initial
0,birth,58,,,,initial
0,birth,59,,,,initial
0,birth,60,,,,initial
0,birth,61,,,,initial
0,birth,62,,,,initial
0,birth,63,,,,initial
0,birth,64,,,,initial
0,birth,65,,,,initial
0,birth,66,,,,initial
0,birth,67,,,,initial
0,birth,68,,,,initial
0,birth,69,,,,initial
0,birth,70,,,,initial
0,birth,71,,,,initial
0,birth,72,,,,initial
0,birth,73,,,,initial
0,birth,74,,,,initial
0,birth,75,,,,initial
0,birth,76,,,,initial
0,birth,77,,,,initial
0,birth,78,,,,initial
0,birth,79,,,,initial
0,birth,80,,,,initial
0,birth,81,,,,initial
0,birth,82,,,,initial
0,birth,83,,,,initial
0,birth,84,,,,initial
0,birth,85,,,,initial
0,birth,86,,,,initial
0,birth,87,,,,initial
0,birth,88,,,,initial
0,birth,89,,,,initial
0,birth,90,,,,initial
0,birth,91,,,,initial
0,birth,92,,,,initial
0,birth,93,,,,initial
0,birth,94,,,,initial
0,birth,95,,,,initial
0,birth,96,,,,initial
0,birth,97,,,,initial
0,birth,98,,,,initial
0,birth,99,,,,initial
0,birth,100,,,,initial
0,birth,101,,,,initial
0,birth,102,,,,initial
0,birth,103,,,,initial
0,birth,104,,,,initial
0,birth,105,,,,initial
0,birth,106,,,,initial
