t,Ca,T,SP,u,reward,cum_reward
0,-5.666662447165673,19.82635099661125,1.1920933173925619e-07,298.0,-0.7224989915794865,-0.7224989915794865
1,-5.666665598117694,25.59430557803549,1.1920933173925619e-07,298.0,-0.7224997950719463,-1.4449987866514329
2,-5.666665954146266,28.256700639288784,1.1920933173925619e-07,298.0,-0.7224998858592259,-2.167498672510659
3,-5.666666051570532,29.485976416675683,1.1920933173925619e-07,298.0,-0.7224999107024128,-2.889998583213072
4,-5.666666087604228,30.053372843882233,1.1920933173925619e-07,298.0,-0.7224999198910054,-3.612498503104077
5,-5.666666102687993,30.315646737396037,1.1920933173925619e-07,298.0,-0.7224999237373653,-4.334998426841443
6,-5.66666610933591,30.43648987483334,1.1920933173925619e-07,298.0,-0.722499925432584,-5.057498352274027
7,-5.666666112343686,30.492290168439368,1.1920933173925619e-07,298.0,-0.7224999261995667,-5.7799982784735935
8,-5.666666113715117,30.517980499752003,1.1920933173925619e-07,298.0,-0.7224999265492816,-6.502498205022875
9,-5.666666114345447,30.529837554250424,1.1920933173925619e-07,298.0,-0.722499926710016,-7.2249981317328915
10,-5.66666611463329,30.53526289895287,1.1920933173925619e-07,298.0,-0.7224999267834158,-7.947498058516308
11,-5.666666114765371,30.53775469659311,1.1920933173925619e-07,298.0,-0.7224999268170966,-8.669997985333405
12,-5.666666114826361,30.538905784479557,1.1920933173925619e-07,298.0,-0.722499926832649,-9.392497912166053
13,-5.666666114854629,30.539439414173586,1.1920933173925619e-07,298.0,-0.7224999268398574,-10.11499783900591
14,-5.66666611486777,30.53968749216152,1.1920933173925619e-07,298.0,-0.7224999268432083,-10.837497765849118
15,-5.666666114873937,30.53980392445883,1.1920933173925619e-07,298.0,-0.7224999268447808,-11.5599976926939
16,-5.666666114876967,30.539861139251034,1.1920933173925619e-07,298.0,-0.7224999268455535,-12.282497619539454
17,-5.666666114878418,30.5398885241718,1.1920933173925619e-07,298.0,-0.7224999268459235,-13.004997546385377
18,-5.6666661148791775,30.539902878885997,1.1920933173925619e-07,298.0,-0.7224999268461173,-13.727497473231494
19,-5.666666114879577,30.53991040338539,1.1920933173925619e-07,298.0,-0.722499926846219,-14.449997400077713
20,-5.666666114879786,30.539914347601233,1.1920933173925619e-07,298.0,-0.7224999268462723,-15.172497326923985
21,-5.666666114879895,30.53991641509274,1.1920933173925619e-07,298.0,-0.7224999268463002,-15.894997253770285
22,-5.666666114879952,30.53991749883695,1.1920933173925619e-07,298.0,-0.7224999268463147,-16.6174971806166
23,-5.666666114879982,30.539918066917416,1.1920933173925619e-07,298.0,-0.7224999268463225,-17.33999710746292
24,-5.666666114879998,30.53991836469563,1.1920933173925619e-07,298.0,-0.7224999268463265,-18.062497034309246
25,-5.666666114880006,30.53991852078595,1.1920933173925619e-07,298.0,-0.7224999268463285,-18.784996961155574
26,-5.666666114880011,30.539918602605876,1.1920933173925619e-07,298.0,-0.7224999268463297,-19.507496888001903
27,-5.666666114880012,30.5399186454945,1.1920933173925619e-07,298.0,-0.7224999268463302,-20.22999681484823
28,-5.666666114880014,30.53991866797599,1.1920933173925619e-07,298.0,-0.7224999268463306,-20.952496741694564
29,-5.666666114880015,30.53991867976041,1.1920933173925619e-07,298.0,-0.7224999268463308,-21.674996668540896
30,-5.666666114880015,30.5399186859376,1.1920933173925619e-07,298.0,-0.7224999268463308,-22.397496595387228
31,-5.666666114880015,30.539918689175583,1.1920933173925619e-07,298.0,-0.7224999268463308,-23.11999652223356
32,-5.666666114880016,30.539918690872874,1.1920933173925619e-07,298.0,-0.722499926846331,-23.842496449079892
33,-5.666666114880016,30.53991869176257,1.1920933173925619e-07,298.0,-0.722499926846331,-24.564996375926224
34,-5.666666114880016,30.539918692228937,1.1920933173925619e-07,298.0,-0.722499926846331,-25.287496302772556
35,-5.666666114880016,30.539918692473393,1.1920933173925619e-07,298.0,-0.722499926846331,-26.00999622961889
36,-5.666666114880016,30.539918692601542,1.1920933173925619e-07,298.0,-0.722499926846331,-26.73249615646522
37,-5.666666114880016,30.539918692668707,1.1920933173925619e-07,298.0,-0.722499926846331,-27.454996083311553
38,-5.666666114880016,30.539918692703914,1.1920933173925619e-07,298.0,-0.722499926846331,-28.177496010157885
39,-5.666666114880016,30.539918692722377,1.1920933173925619e-07,298.0,-0.722499926846331,-28.899995937004217
40,-5.666666114880016,30.539918692732055,1.1920933173925619e-07,298.0,-0.722499926846331,-29.62249586385055
41,-5.666666114880016,30.53991869273713,1.1920933173925619e-07,298.0,-0.722499926846331,-30.34499579069688
42,-5.666666114880016,30.539918692739786,1.1920933173925619e-07,298.0,-0.722499926846331,-31.067495717543213
43,-5.666666114880016,30.539918692741175,1.1920933173925619e-07,298.0,-0.722499926846331,-31.789995644389546
44,-5.666666114880016,30.539918692741903,1.1920933173925619e-07,298.0,-0.722499926846331,-32.512495571235874
45,-5.666666114880016,30.539918692742276,1.1920933173925619e-07,298.0,-0.722499926846331,-33.234995498082206
46,-5.666666114880016,30.539918692742475,1.1920933173925619e-07,298.0,-0.722499926846331,-33.95749542492854
47,-5.666666114880016,30.539918692742585,1.1920933173925619e-07,298.0,-0.722499926846331,-34.67999535177487
48,-5.666666114880016,30.53991869274263,1.1920933173925619e-07,298.0,-0.722499926846331,-35.4024952786212
49,-5.666666114880016,30.539918692742667,1.1920933173925619e-07,298.0,-0.809999922543174,-36.21249520116438
50,-5.666666114880016,30.539918692742685,1.0000004768373292,298.0,-0.809999922543174,-37.02249512370756
51,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-37.832495046250735
52,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-38.64249496879391
53,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-39.45249489133709
54,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-40.26249481388027
55,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-41.072494736423444
56,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-41.88249465896662
57,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-42.6924945815098
58,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-43.502494504052976
59,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-44.31249442659615
60,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-45.12249434913933
61,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-45.93249427168251
62,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-46.742494194225685
63,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-47.55249411676886
64,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-48.36249403931204
65,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-49.17249396185522
66,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-49.982493884398394
67,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-50.79249380694157
68,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-51.60249372948475
69,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-52.412493652027926
70,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-53.222493574571104
71,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-54.03249349711428
72,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-54.84249341965746
73,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-55.652493342200636
74,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-56.46249326474381
75,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-57.27249318728699
76,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-58.08249310983017
77,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-58.892493032373345
78,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-59.70249295491652
79,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-60.5124928774597
80,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-61.32249280000288
81,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-62.132492722546054
82,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-62.94249264508923
83,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-63.75249256763241
84,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-64.56249249017559
85,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-65.37249241271876
86,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-66.18249233526193
87,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-66.9924922578051
88,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-67.80249218034827
89,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-68.61249210289144
90,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-69.42249202543461
91,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-70.23249194797778
92,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-71.04249187052095
93,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-71.85249179306412
94,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-72.66249171560729
95,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-73.47249163815046
96,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-74.28249156069363
97,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-75.0924914832368
98,-5.666666114880016,30.539918692742695,1.0000004768373292,298.0,-0.809999922543174,-75.90249140577997
