t,Ca,T,SP,u,reward,cum_reward
0,-5.666662303956823,19.717171555307765,1.1920933173925619e-07,295.8346034314818,-0.7224989550612542,-0.7224989550612542
1,-5.666665449247754,25.433452115865126,1.1920933173925619e-07,295.83442200647016,-0.7224997571101159,-1.44499871217137
2,-5.66666593746562,28.072173881913987,1.1920933173925619e-07,295.83442200647016,-0.7224998816056611,-2.1674985937770312
3,-5.666666037968483,29.290352230388,1.1920933173925619e-07,295.83442200647016,-0.7224999072338905,-2.889998501010922
4,-5.666666075410751,29.852632409511717,1.1920933173925619e-07,295.83442200647016,-0.7224999167816686,-3.6124984177925903
5,-5.666666091084283,30.11254501884697,1.1920933173925619e-07,295.83442200647016,-0.7224999207784193,-4.33499833857101
6,-5.666666097992597,30.232298638707135,1.1920933173925619e-07,295.83442200647016,-0.7224999225400394,-5.057498261111049
7,-5.666666101117811,30.287589863621744,1.1920933173925619e-07,295.83442200647016,-0.7224999233369688,-5.779998184448018
8,-5.666666102545584,30.313094832639855,1.1920933173925619e-07,295.83442200647016,-0.7224999237010508,-6.5024981081490685
9,-5.66666610319908,30.3248175311458,1.1920933173925619e-07,295.83442200647016,-0.7224999238676924,-7.224998032016761
10,-5.666666103497637,30.330183837183302,1.1920933173925619e-07,295.83442200647016,-0.7224999239438246,-7.947497955960586
11,-5.666666103634649,30.332648731561793,1.1920933173925619e-07,295.83442200647016,-0.7224999239787624,-8.669997879939348
12,-5.6666661036979145,30.333787393367874,1.1920933173925619e-07,295.83442200647016,-0.7224999239948952,-9.392497803934244
13,-5.666666103727239,30.334315283626065,1.1920933173925619e-07,295.83442200647016,-0.722499924002373,-10.114997727936617
14,-5.666666103740871,30.33456070577701,1.1920933173925619e-07,295.83442200647016,-0.7224999240058491,-10.837497651942465
15,-5.666666103747271,30.334675933426414,1.1920933173925619e-07,295.83442200647016,-0.7224999240074813,-11.559997575949946
16,-5.666666103750416,30.334732536813952,1.1920933173925619e-07,295.83442200647016,-0.7224999240082829,-12.282497499958229
17,-5.666666103751921,30.33475964765137,1.1920933173925619e-07,295.83442200647016,-0.7224999240086669,-13.004997423966895
18,-5.666666103752711,30.33477385869567,1.1920933173925619e-07,295.83442200647016,-0.7224999240088682,-13.727497347975763
19,-5.6666661037531245,30.334781307885713,1.1920933173925619e-07,295.83442200647016,-0.7224999240089737,-14.449997271984737
20,-5.666666103753341,30.334785212625658,1.1920933173925619e-07,295.83442200647016,-0.722499924009029,-15.172497195993765
21,-5.666666103753455,30.334787259424555,1.1920933173925619e-07,295.83442200647016,-0.722499924009058,-15.894997120002824
22,-5.666666103753514,30.33478833232207,1.1920933173925619e-07,295.83442200647016,-0.7224999240090731,-16.6174970440119
23,-5.6666661037535455,30.334788894716866,1.1920933173925619e-07,295.83442200647016,-0.722499924009081,-17.33999696802098
24,-5.6666661037535615,30.33478918951474,1.1920933173925619e-07,295.83442200647016,-0.7224999240090852,-18.062496892030065
25,-5.66666610375357,30.33478934404283,1.1920933173925619e-07,295.83442200647016,-0.7224999240090875,-18.784996816039154
26,-5.666666103753575,30.334789425043844,1.1920933173925619e-07,295.83442200647016,-0.7224999240090886,-19.507496740048243
27,-5.6666661037535775,30.334789467503214,1.1920933173925619e-07,295.83442200647016,-0.7224999240090891,-20.22999666405733
28,-5.666666103753578,30.334789489759697,1.1920933173925619e-07,295.83442200647016,-0.7224999240090896,-20.95249658806642
29,-5.666666103753579,30.334789501426176,1.1920933173925619e-07,295.83442200647016,-0.7224999240090897,-21.67499651207551
30,-5.666666103753579,30.334789507541544,1.1920933173925619e-07,295.83442200647016,-0.7224999240090897,-22.397496436084598
31,-5.66666610375358,30.334789510747115,1.1920933173925619e-07,295.83442200647016,-0.7224999240090899,-23.119996360093687
32,-5.66666610375358,30.334789512427424,1.1920933173925619e-07,295.83442200647016,-0.7224999240090899,-23.842496284102776
33,-5.66666610375358,30.334789513308216,1.1920933173925619e-07,295.83442200647016,-0.7224999240090899,-24.564996208111864
34,-5.66666610375358,30.33478951376991,1.1920933173925619e-07,295.83442200647016,-0.7224999240090899,-25.287496132120953
35,-5.66666610375358,30.334789514011927,1.1920933173925619e-07,295.83442200647016,-0.7224999240090899,-26.009996056130042
36,-5.66666610375358,30.334789514138784,1.1920933173925619e-07,295.83442200647016,-0.7224999240090899,-26.73249598013913
37,-5.66666610375358,30.334789514205276,1.1920933173925619e-07,295.83442200647016,-0.7224999240090899,-27.45499590414822
38,-5.66666610375358,30.33478951424014,1.1920933173925619e-07,295.83442200647016,-0.7224999240090899,-28.17749582815731
39,-5.66666610375358,30.33478951425841,1.1920933173925619e-07,295.83442200647016,-0.7224999240090899,-28.899995752166397
40,-5.66666610375358,30.334789514267985,1.1920933173925619e-07,295.83442200647016,-0.7224999240090899,-29.622495676175486
41,-5.66666610375358,30.334789514273005,1.1920933173925619e-07,295.83442200647016,-0.7224999240090899,-30.344995600184575
42,-5.66666610375358,30.334789514275634,1.1920933173925619e-07,295.83442200647016,-0.7224999240090899,-31.067495524193664
43,-5.66666610375358,30.334789514277016,1.1920933173925619e-07,295.83442200647016,-0.7224999240090899,-31.789995448202752
44,-5.66666610375358,30.334789514277738,1.1920933173925619e-07,295.83442200647016,-0.7224999240090899,-32.512495372211845
45,-5.66666610375358,30.334789514278118,1.1920933173925619e-07,295.83442200647016,-0.7224999240090899,-33.23499529622094
46,-5.66666610375358,30.334789514278317,1.1920933173925619e-07,295.83442200647016,-0.7224999240090899,-33.95749522023003
47,-5.66666610375358,30.334789514278427,1.1920933173925619e-07,295.83442200647016,-0.7224999240090899,-34.67999514423912
48,-5.66666610375358,30.334789514278473,1.1920933173925619e-07,295.83442200647016,-0.7224999240090899,-35.402495068248214
49,-5.66666610375358,30.33478951427851,1.1920933173925619e-07,295.83442200647016,-0.8099999195390364,-36.21249498778725
50,-5.66666610375358,30.334789514278526,1.0000004768373292,295.83442200647016,-0.8099999195390364,-37.02249490732629
51,-5.666666103753577,30.334789444908303,1.0000004768373292,295.83442046732455,-0.8099999195390354,-37.83249482686533
52,-5.666666103753574,30.334789408545593,1.0000004768373292,295.83442046732455,-0.8099999195390347,-38.64249474640437
53,-5.666666103753573,30.334789389484875,1.0000004768373292,295.83442046732455,-0.8099999195390345,-39.4524946659434
54,-5.666666103753573,30.33478937949358,1.0000004768373292,295.83442046732455,-0.8099999195390344,-40.26249458548243
55,-5.666666103753572,30.334789374256307,1.0000004768373292,295.83442046732455,-0.8099999195390342,-41.07249450502146
56,-5.666666103753572,30.334789371511015,1.0000004768373292,295.83442046732455,-0.8099999195390342,-41.88249442456049
57,-5.666666103753572,30.334789370071977,1.0000004768373292,295.83442046732455,-0.8099999195390342,-42.69249434409952
58,-5.666666103753572,30.334789369317658,1.0000004768373292,295.83442046732455,-0.8099999195390342,-43.50249426363855
59,-5.666666103753572,30.334789368922266,1.0000004768373292,295.83442046732455,-0.8099999195390342,-44.312494183177584
60,-5.666666103753572,30.334789368715,1.0000004768373292,295.83442046732455,-0.8099999195390342,-45.122494102716615
61,-5.666666103753572,30.33478936860635,1.0000004768373292,295.83442046732455,-0.8099999195390342,-45.932494022255646
62,-5.666666103753572,30.3347893685494,1.0000004768373292,295.83442046732455,-0.8099999195390342,-46.74249394179468
63,-5.666666103753572,30.33478936851955,1.0000004768373292,295.83442046732455,-0.8099999195390342,-47.55249386133371
64,-5.666666103753572,30.334789368503905,1.0000004768373292,295.83442046732455,-0.8099999195390342,-48.36249378087274
65,-5.666666103753572,30.334789368495695,1.0000004768373292,295.83442046732455,-0.8099999195390342,-49.17249370041177
66,-5.666666103753572,30.334789368491393,1.0000004768373292,295.83442046732455,-0.8099999195390342,-49.9824936199508
67,-5.666666103753572,30.334789368489137,1.0000004768373292,295.83442046732455,-0.8099999195390342,-50.79249353948983
68,-5.666666103753572,30.334789368487964,1.0000004768373292,295.83442046732455,-0.8099999195390342,-51.602493459028864
69,-5.666666103753572,30.334789368487346,1.0000004768373292,295.83442046732455,-0.8099999195390342,-52.412493378567895
